Date,Adj Close,Close,High,Low,Open,Volume,date_target,variacao_absoluta,alvo_binario,__3__,predicao,resultado_predicao,resultado_predicao_acumulado
2025-01-29,11.491905212402344,11.510000228881836,11.729999542236328,11.470000267028809,11.729999542236328,33371500,2025-01-30,0.6000003814697266,1.0,25002.851567230016,0.0,-0.6000003814697266,59.34534740447998
2025-01-30,12.120915412902832,12.140000343322754,12.25,11.510000228881836,11.539999961853027,56868200,2025-01-31,-0.05000019073486328,0.0,282332.75868939084,0.0,0.05000019073486328,59.395347595214844
2025-01-31,12.070993423461914,12.09000015258789,12.449999809265137,12.010000228881836,12.140000343322754,37528400,2025-02-03,-0.020000457763671875,0.0,1166111.573624195,0.0,0.020000457763671875,59.415348052978516
2025-02-03,12.051024436950684,12.069999694824219,12.170000076293945,11.920000076293945,12.09000015258789,32339300,2025-02-04,0.0,0.0,431460.14147643186,0.0,0.0,59.415348052978516
2025-02-04,12.029999732971191,12.029999732971191,12.170000076293945,11.880000114440918,12.029999732971191,36005500,2025-02-05,0.16000080108642578,1.0,424260.71551727364,0.0,-0.16000080108642578,59.25534725189209
2025-02-05,12.3100004196167,12.3100004196167,12.380000114440918,11.90999984741211,12.149999618530273,42185200,2025-02-06,0.25,1.0,300358.4237540431,0.0,-0.25,59.00534725189209
2025-02-06,12.479999542236328,12.479999542236328,12.579999923706055,12.100000381469727,12.229999542236328,45483400,2025-02-07,-0.3100004196166992,0.0,656856.4326014419,0.0,0.3100004196166992,59.31534767150879
